,URL,Repo owner,Repo name,Issue #,Repo type,Research Prototype,Repo creation time,Issue creation time,Time Slot/d,Label
67,https://github.com/rwightman/pytorch-image-models/issues/11,rwightman,pytorch-image-models,11,11,No,2019-02-02T05:51:12Z,2019-02-02T05:51:12Z,2019-06-17T10:37:58Z,135
68,https://github.com/rwightman/pytorch-image-models/issues/124,rwightman,pytorch-image-models,124,124,No,2019-02-02T05:51:12Z,2019-02-02T05:51:12Z,2020-04-13T12:47:18Z,436
69,https://github.com/rwightman/pytorch-image-models/issues/174,rwightman,pytorch-image-models,174,174,No,2019-02-02T05:51:12Z,2019-02-02T05:51:12Z,2020-06-29T18:20:10Z,513
70,https://github.com/rwightman/pytorch-image-models/issues/252,rwightman,pytorch-image-models,252,252,No,2019-02-02T05:51:12Z,2019-02-02T05:51:12Z,2020-10-14T14:53:44Z,620
71,https://github.com/rwightman/pytorch-image-models/issues/271,rwightman,pytorch-image-models,271,271,No,2019-02-02T05:51:12Z,2019-02-02T05:51:12Z,2020-11-04T09:16:33Z,641
72,https://github.com/ShaoqingRen/faster_rcnn/issues/47,ShaoqingRen,faster_rcnn,47,47,Yes,2015-08-06T06:38:25Z,2015-08-06T06:38:25Z,2015-12-10T15:31:05Z,126
73,https://github.com/tensorflow/models/issues/1838,tensorflow,models,1838,1838,No,2016-02-05T01:15:20Z,2016-02-05T01:15:20Z,2017-07-03T04:37:21Z,514
74,https://github.com/tensorflow/models/issues/2142,tensorflow,models,2142,2142,No,2016-02-05T01:15:20Z,2016-02-05T01:15:20Z,2017-08-07T02:00:32Z,549
75,https://github.com/tensorflow/models/issues/2623,tensorflow,models,2623,2623,No,2016-02-05T01:15:20Z,2016-02-05T01:15:20Z,2017-10-28T02:12:26Z,631
76,https://github.com/tensorflow/models/issues/4657,tensorflow,models,4657,4657,No,2016-02-05T01:15:20Z,2016-02-05T01:15:20Z,2018-06-30T05:17:42Z,876
77,https://github.com/tensorflow/models/issues/5342,tensorflow,models,5342,5342,No,2016-02-05T01:15:20Z,2016-02-05T01:15:20Z,2018-09-20T09:38:52Z,958
78,https://github.com/tensorflow/models/issues/6423,tensorflow,models,6423,6423,No,2016-02-05T01:15:20Z,2016-02-05T01:15:20Z,2019-03-22T12:59:14Z,1141
79,https://github.com/tensorflow/models/issues/8034,tensorflow,models,8034,8034,No,2016-02-05T01:15:20Z,2016-02-05T01:15:20Z,2020-01-13T10:47:06Z,1438
80,https://github.com/ultralytics/yolov3/issues/192,ultralytics,yolov3,192,192,No,2018-08-26T08:57:20Z,2018-08-26T08:57:20Z,2019-04-06T12:26:19Z,223
81,https://github.com/ultralytics/yolov3/issues/392,ultralytics,yolov3,392,392,No,2018-08-26T08:57:20Z,2018-08-26T08:57:20Z,2019-07-25T15:52:48Z,333
82,https://github.com/ultralytics/yolov3/issues/698,ultralytics,yolov3,698,698,No,2018-08-26T08:57:20Z,2018-08-26T08:57:20Z,2019-12-09T12:56:10Z,470
83,https://github.com/ultralytics/yolov5/issues/357,ultralytics,yolov5,357,357,Yes,2020-05-18T03:45:11Z,2020-05-18T03:45:11Z,2020-07-10T23:50:34Z,53
84,https://github.com/xingyizhou/CenterNet/issues/193,xingyizhou,CenterNet,193,193,Yes,2019-04-16T18:39:13Z,2019-04-16T18:39:13Z,2019-07-11T13:51:47Z,85
85,https://github.com/xingyizhou/CenterNet/issues/241,xingyizhou,CenterNet,241,241,Yes,2019-04-16T18:39:13Z,2019-04-16T18:39:13Z,2019-07-31T10:32:48Z,105
86,https://github.com/xingyizhou/CenterNet/issues/37,xingyizhou,CenterNet,37,37,Yes,2019-04-16T18:39:13Z,2019-04-16T18:39:13Z,2019-04-28T03:32:45Z,11
87,https://github.com/xingyizhou/CenterNet/issues/453,xingyizhou,CenterNet,453,453,Yes,2019-04-16T18:39:13Z,2019-04-16T18:39:13Z,2019-11-07T02:59:38Z,204
88,https://github.com/xingyizhou/CenterNet/issues/7,xingyizhou,CenterNet,7,7,Yes,2019-04-16T18:39:13Z,2019-04-16T18:39:13Z,2019-04-18T12:05:03Z,1
89,https://github.com/yhenon/pytorch-retinanet/issues/2,yhenon,pytorch-retinanet,2,2,No,2018-04-25T00:15:22Z,2018-04-25T00:15:22Z,2018-07-03T07:32:23Z,69
90,https://github.com/yhenon/pytorch-retinanet/issues/63,yhenon,pytorch-retinanet,63,63,No,2018-04-25T00:15:22Z,2018-04-25T00:15:22Z,2019-02-05T06:17:59Z,286
91,https://github.com/CharlesShang/FastMaskRCNN/issues/123,CharlesShang,FastMaskRCNN,123,123,No,,2017-03-25T15:33:21Z,2017-07-31T11:37:32Z,127
92,https://github.com/TuSimple/mx-maskrcnn/issues/24,TuSimple,mx-maskrcnn,24,24,No,,2017-10-24T06:32:28Z,2017-10-30T06:03:04Z,5
