URL,Repo owner,Repo name,Issue #,Repo type,Research Prototype,Repo creation time,Issue creation time,Time Slot/d,Label,,
https://github.com/pytorch/vision/issues/3272,pytorch,vision,3272,Zoo Repository,No,2016-11-09T23:11:43Z,2021-01-21T16:21:46Z,1533,N/A,,
https://github.com/pytorch/vision/issues/3198,pytorch,vision,3198,Zoo Repository,No,2016-11-09T23:11:43Z,2020-12-21T22:53:14Z,1502,N/A,,
https://github.com/pytorch/vision/issues/271,pytorch,vision,271,Zoo Repository,No,2016-11-09T23:11:43Z,2017-09-25T11:53:59Z,319,N/A,,
https://github.com/pytorch/vision/issues/1477,pytorch,vision,1477,Zoo Repository,No,2016-11-09T23:11:43Z,2019-10-16T18:41:19Z,1070,N/A,,
https://github.com/open-mmlab/mmdetection/issues/911,open-mmlab,mmdetection,911,Zoo Repository,No,2018-08-22T07:06:06Z,2019-07-02T01:18:35Z,313,N/A,,
https://github.com/open-mmlab/mmdetection/issues/553,open-mmlab,mmdetection,553,Zoo Repository,No,2018-08-22T07:06:06Z,2019-04-27T13:20:28Z,248,N/A,,
https://github.com/open-mmlab/mmdetection/issues/4106,open-mmlab,mmdetection,4106,Zoo Repository,No,2018-08-22T07:06:06Z,2020-11-13T08:49:42Z,814,N/A,,
https://github.com/open-mmlab/mmdetection/issues/1088,open-mmlab,mmdetection,1088,Zoo Repository,No,2018-08-22T07:06:06Z,2019-07-31T01:36:23Z,342,N/A,,
https://github.com/NVIDIA/DeepLearningExamples/issues/831,NVIDIA,DeepLearningExamples,831,Zoo Repository,No,2018-05-02T17:04:05Z,2021-02-13T11:24:24Z,1017,N/A,,
https://github.com/NVIDIA/DeepLearningExamples/issues/321,NVIDIA,DeepLearningExamples,321,Zoo Repository,No,2018-05-02T17:04:05Z,2019-11-28T13:07:47Z,574,N/A,,
https://github.com/facebookresearch/detectron2/issues/8,facebookresearch,detectron2,8,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-11T08:22:59Z,35,enhancement,,
https://github.com/facebookresearch/detectron2/issues/556,facebookresearch,detectron2,556,Zoo Repository,No,2019-09-05T21:30:20Z,2019-12-19T19:11:10Z,104,N/A,,
https://github.com/facebookresearch/detectron2/issues/5,facebookresearch,detectron2,5,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-11T03:40:03Z,35,N/A,,
https://github.com/facebookresearch/detectron2/issues/46,facebookresearch,detectron2,46,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-13T05:26:36Z,37,enhancement,,
https://github.com/facebookresearch/detectron2/issues/282,facebookresearch,detectron2,282,Zoo Repository,No,2019-09-05T21:30:20Z,2019-11-09T07:15:34Z,64,N/A,,
https://github.com/facebookresearch/detectron2/issues/1519,facebookresearch,detectron2,1519,Zoo Repository,No,2019-09-05T21:30:20Z,2020-06-02T14:41:50Z,270,N/A,,
https://github.com/facebookresearch/detectron2/issues/1289,facebookresearch,detectron2,1289,Zoo Repository,No,2019-09-05T21:30:20Z,2020-04-24T05:22:06Z,231,N/A,,
https://github.com/facebookresearch/detectron2/issues/12,facebookresearch,detectron2,12,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-11T11:30:49Z,35,enhancement,,
https://github.com/facebookresearch/Detectron/issues/432,facebookresearch,Detectron,432,Zoo Repository,No,2017-10-05T17:32:00Z,2018-05-15T12:54:25Z,221,N/A,,
https://github.com/facebookresearch/Detectron/issues/370,facebookresearch,Detectron,370,Zoo Repository,No,2017-10-05T17:32:00Z,2018-04-16T17:04:05Z,192,N/A,,
https://github.com/facebookresearch/Detectron/issues/320,facebookresearch,Detectron,320,Zoo Repository,No,2017-10-05T17:32:00Z,2018-03-27T06:39:33Z,172,N/A,,
https://github.com/facebookresearch/Detectron/issues/204,facebookresearch,Detectron,204,Zoo Repository,No,2017-10-05T17:32:00Z,2018-02-28T09:20:51Z,145,N/A,,
https://github.com/facebookresearch/Detectron/issues/184,facebookresearch,Detectron,184,Zoo Repository,No,2017-10-05T17:32:00Z,2018-02-22T17:12:40Z,139,N/A,,
